Hybrid	Gen	sample	S30_equal	S37_equal	R_equal	mu	R_plot
Sc	0	A3	25735.2055	26135.1395	1.0155403460835	1.09009723971071	1.09009723971071
Sc	0	B1	25411.21275	30915.895	1.21662414557526	1.09009723971071	1.09009723971071
Sc	0	B11	24942.036	27751.43975	1.11263730635302	1.09009723971071	1.09009723971071
Sc	0	C2	25483.124	27796.2755	1.09077189672663	1.09009723971071	1.09009723971071
Sc	0	D10	25646.09675	25573.29325	0.997161224933771	1.09009723971071	1.09009723971071
Sc	0	F6	25069.945	27647.47	1.10281334881269	1.09009723971071	1.09009723971071
Sc	0	H1	29198.85725	27905.4775	0.955704439426307	1.09009723971071	1.09009723971071
Sc	0	H4	25711.21275	31612.58425	1.22952520977448	1.09009723971071	1.09009723971071
Sc	5000	A3	26692.2105	28197.95775	1.05641148566545	1.09009723971071	1.05641148566545
Sc	5000	B1	26466.2555	27156.331	1.02607378667526	1.09009723971071	1.02607378667526
Sc	5000	B11	24346.44	29451.392	1.20967960818912	1.09009723971071	1.20967960818912
Sc	5000	C2	25808.349	28790.0685	1.11553313619558	1.09009723971071	1.11553313619558
Sc	5000	D10	26973.36425	25316.033	0.938556746772883	1.09009723971071	0.938556746772883
Sc	5000	F6	25846.943	27341.2505	1.05781370353933	1.09009723971071	1.05781370353933
Sc	5000	H1	24916.488	28662.31875	1.15033542247206	1.09009723971071	1.15033542247206
Sc	5000	H4	26769.16275	34779.8215	1.29924950678556	1.09009723971071	1.29924950678556
Sc	9000	A3	24221.107	29050.95225	1.19940646189293	1.09009723971071	1.19940646189293
Sc	9000	B1	26075.05075	28748.37925	1.10252438338974	1.09009723971071	1.10252438338974
Sc	9000	B11	24922.98775	30087.44525	1.20721662875271	1.09009723971071	1.20721662875271
Sc	9000	C2	24935.9295	30014.5435	1.20366652063241	1.09009723971071	1.20366652063241
Sc	9000	D10	27535.6115	27775.2455	1.00870269396414	1.09009723971071	1.00870269396414
Sc	9000	F6	24628.508	28916.55625	1.17410913604673	1.09009723971071	1.17410913604673
Sc	9000	H1	27372.13425	31515.70775	1.15137926265286	1.09009723971071	1.15137926265286
Sc	9000	H4	28219.079	32415.87925	1.14872208444507	1.09009723971071	1.14872208444507
Sp	0	A4	23089.26525	6817.38475	0.295262091547066	0.285440481604805	0.285440481604805
Sp	0	B3	23954.2475	6753.40475	0.281929321720501	0.285440481604805	0.285440481604805
Sp	0	E3	23258.6615	7106.4475	0.305539830828184	0.285440481604805	0.285440481604805
Sp	0	F2	24577.58725	7208.90475	0.293312141532526	0.285440481604805	0.285440481604805
Sp	0	F5	26231.83625	7141.37425	0.27224073000227	0.285440481604805	0.285440481604805
Sp	0	G12	23611.25275	6758.7405	0.286250821655365	0.285440481604805	0.285440481604805
Sp	0	G8	26126.0915	6885.4905	0.263548433947726	0.285440481604805	0.285440481604805
Sp	5000	A4	21893.356	184.6065	0.00843207866349956	0.285440481604805	0.00843207866349956
Sp	5000	B3	26740.69175	4336.96525	0.162185978229228	0.285440481604805	0.162185978229228
Sp	5000	E3	23164.2955	3835.9475	0.165597416938495	0.285440481604805	0.165597416938495
Sp	5000	F2	29549.30625	6007.387	0.203300441275165	0.285440481604805	0.203300441275165
Sp	5000	F5	27523.6845	2850.46025	0.103563905115974	0.285440481604805	0.103563905115974
Sp	5000	G12	22151.2905	4027.66725	0.18182539974364	0.285440481604805	0.18182539974364
Sp	5000	G8	27220.55075	5206.71025	0.191278651847263	0.285440481604805	0.191278651847263
Sp	9000	A4	26114.3205	13156.59275	0.503807585190662	0.285440481604805	0.503807585190662
Sp	9000	B3	28641.306	4131.594	0.144252989022219	0.285440481604805	0.144252989022219
Sp	9000	E3	27024.965	3642.16725	0.134770470563052	0.285440481604805	0.134770470563052
Sp	9000	F2	31261.99325	4194.56375	0.134174545956055	0.285440481604805	0.134174545956055
Sp	9000	F5	25954.82575	2556.637	0.0985033390177933	0.285440481604805	0.0985033390177933
Sp	9000	G12	18374.26725	2169.92975	0.11809612435021	0.285440481604805	0.11809612435021
Sp	9000	G8	24064.6085	3642.67975	0.15137082949012	0.285440481604805	0.15137082949012
1A	0	A7	26974.91975	7358.68975	0.272797465875686	0.30039172748193	0.30039172748193
1A	0	B8	29766.7	9746.6555	0.327434868493988	0.30039172748193	0.30039172748193
1A	0	C11	30494.25775	8387.18075	0.275041314950517	0.30039172748193	0.30039172748193
1A	0	C2	30567.47225	9087.27175	0.297285679223934	0.30039172748193	0.30039172748193
1A	0	C4	32347.6715	9739.63775	0.301092390838704	0.30039172748193	0.30039172748193
